"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"CPE",28.8921,164.4156,402.8348,77.2788,174.3815,284.1946,327.1866,57.9486,163.9082,234.1111,319.7576,29.4474,49.382,30.5333,60.494,70.2143,611.3627,84.5153,39.567,102.4325,631.6046,136.3855,67.7166,158.8511,511.1326,152.1097,55.2705
"RPL34",152.7966,192.5202,237.3945,119.7237,207.5968,269.1259,366.469,207.8713,235.4357,298.6883,314.8595,147.4378,189.5606,158.514,164.5375,163.6098,290.0538,232.665,186.445,152.5152,251.583,185.5349,186.689,258.139,381.0604,237.0108,255.9211
"WFS1",3.5068,11.3313,17.381,6.4716,12.6599,11.0597,12.1603,7.6241,7.7074,7.5897,7.9598,7.0552,6.268,4.3009,5.1628,13.3708,23.6875,5.6826,6.1623,7.3102,28.6507,12.7504,4.9066,7.2456,21.163,11.6242,4.0396
"ANXA10",37.0568,14.8569,6.3477,1.5017,130.6535,3.1381,37.3727,19.4571,1.6116,9.2093,7.5554,1.0915,2.187,34.6432,5.6693,24.7159,30.8664,22.6133,28.0407,2.3673,67.9345,3.1909,14.1789,5.8746,1.1776,52.0856,28.4383
"GRPEL1",7.0002,10.4368,16.1086,8.2281,17.9749,14.3012,20.1742,8.2482,13.4749,14.7015,16.1524,5.3949,9.0155,6.9322,5.8644,9.4932,17.84,17.5174,10.0426,9.6468,18.59,11.9432,9.1734,16.8879,19.1023,11.7152,5.5475
"GAR1",5.3339,3.0864,4.8325,3.0693,6.4171,5.3889,7.8991,4.9724,5.8588,9.1416,7.7293,3.3161,5.0044,5.6305,2.5276,3.2953,6.5215,7.4806,5.2679,3.6795,7.3985,4.4412,3.0662,9.8066,10.0514,3.6897,6.8234
"FRG1",10.9659,17.1802,30.0131,11.4305,28.3866,27.8979,45.9409,15.713,30.5875,32.4888,31.6479,9.5003,10.7086,10.7682,10.1874,13.2076,28.5246,29.0565,14.3814,15.1324,30.7219,18.8503,10.7447,28.9027,40.4862,22.6297,15.4418
"CLCN3",25.6909,38.5087,58.7488,35.246,58.6843,36.7052,53.1387,41.8734,53.3929,57.857,68.6325,21.5102,31.4641,28.7444,28.1639,33.3041,55.3093,69.3866,38.7543,40.3552,53.7979,46.1621,33.7212,61.8332,49.1329,36.6138,32.641
"AADAT",2.3515,2.0781,4.1825,2.9737,4.4085,2.9942,4.4641,3.22,4.8263,6.456,5.2655,2.399,4.6613,1.7705,3.316,2.9601,3.8788,4.9026,4.7934,3.4382,5.8114,4.2081,3.2104,5.9949,5.8872,3.1072,5.2887
"GALNT7",14.7195,7.9092,13.3996,6.3226,18.6693,9.1634,16.4657,14.577,13.0888,18.2071,21.6282,7.8668,12.3701,13.2748,12.9859,11.195,13.9912,28.7718,18.7013,9.824,12.7972,12.2116,15.6845,17.7187,12.6499,10.6457,15.3473
"DHX15",24.2915,38.4578,56.8481,28.3721,60.8259,48.4302,78.3356,32.0786,67.0655,76.7391,73.205,18.4798,29.1435,26.3879,22.336,35.715,75.1553,74.818,38.0704,41.9521,56.7695,41.7297,30.5963,73.1893,74.0778,36.3607,28.0959
"SOD3",10.0474,29.2458,18.3285,21.5819,16.2726,18.6201,53.4754,8.3998,8.9278,15.8937,10.9271,15.6953,13.5127,10.2125,14.5218,23.8216,35.6706,11.3107,8.5723,22.3426,33.1882,18.9346,10.1336,18.3672,71.6447,22.1595,8.5814
"SEPSECS",11.0765,9.9718,13.3108,9.662,14.4546,12.8584,19.2574,11.038,16.4093,19.3478,20.8495,7.5569,11.6135,9.3395,10.8379,10.1575,15.3453,19.6274,12.5899,8.9222,12.6736,13.3755,12.2864,19.5788,18.7738,7.7035,13.5086
"CPZ",0,0.048,0.3442,0.0813,0.0406,1.0356,0.3371,0.3817,0.4006,0.7585,0.1329,0,0.1391,0.0224,0,0.3147,0.3114,0.019,0.2401,0.0912,0.4708,0.2455,0.0546,0.0745,0.8454,0.557,0.0126
