"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TRPC6",2.1847,2.6609,2.9411,3.8665,4.2024,2.3459,2.5042,4.9282,3.4445
"MMP7",0,0,0,0,0.3196,0.2799,0.4091,0,0
"MMP20",0,0,0,0,0,0,0.0338,0,0
"MMP27",0,0,0,0,0.0659,0,0,0,0
"CFAP300",0.6788,1.6051,0.8494,1.1869,1.3538,1.8928,1.206,2.051,0.8029
"DCUN1D5",18.4461,16.8379,28.4665,18.5312,24.1949,16.6407,14.656,21.5033,20.6598
"YAP1",12.8197,11.1663,14.7853,22.0205,21.1457,21.7727,41.5195,24.8623,11.2073
"TRIM29",0.2096,0.2189,0.3531,0.6626,0.2215,0.2495,0.2836,0.1272,0.3148
"SLC37A4",6.0663,8.7156,6.6962,6.2437,8.1298,6.1944,5.8858,6.1089,6.0869
"BTG4",0.0285,0,0.2401,0.0513,0.1372,0,0.2395,0.1182,0.0303
"POU2F3",0.0077,0.1093,0.142,0.069,0.166,0.1385,0.3477,0.1271,0.0407
"RDX",28.2413,51.393,47.767,31.8382,42.344,28.3308,36.9608,44.3768,29.6444
"PPP2R1B",10.9413,27.8948,13.167,18.4913,19.165,13.1136,25.0991,21.2867,12.1598
"FDX1",19.1203,15.8903,22.4722,15.459,22.3628,15.1978,10.4556,20.8903,17.2971
"C11orf1",6.6178,7.0044,7.0876,6.6264,7.1031,6.7856,6.3101,7.8156,6.854
"FXYD6",38.5172,43.635,53.0211,49.8885,38.3879,42.9104,38.0867,54.4629,59.0702
"ARHGAP20",28.8273,28.6847,28.1099,26.0669,27.4878,24.8456,13.4293,30.0747,35.9756
"FXYD2",0.4394,1.5675,1.4804,2.1584,2.0051,2.4816,2.9385,1.5565,0.3789
"MMP13",0,0.2069,0.0305,0.0653,0.0436,0,0,0.1879,0.0192
"TMPRSS13",0.1625,0.1637,0.1772,0.2926,0.2762,0.2592,0.3375,0.1388,0.0913
"CASP1",1.6936,2.3375,2.0345,1.949,3.2077,2.4337,5.5995,4.2027,1.2967
"CASP5",0.0322,0.2761,0.2173,0.1741,0.3105,0.2331,0.6503,0.7355,0.0685
"ALKBH8",11.9072,12.9224,15.9276,11.1678,12.1341,12.0794,6.0957,14.3556,12.3364
"MAP2K5",22.8873,35.5859,25.4054,25.2354,28.3431,27.8655,25.4841,27.4005,22.1062
"UNC13C",76.6552,79.3719,59.8639,88.2931,60.7899,100.5677,54.6832,79.8812,73.261
"SQOR",1.7804,1.9428,1.8231,1.1939,2.6889,2.366,3.9604,3.0042,1.297
"CTDSPL2",15.5108,21.6832,21.8595,15.9165,20.4721,17.752,13.4576,21.8475,15.0956
"SLTM",33.7844,52.6697,41.251,36.4611,46.2349,35.6804,39.0144,43.4753,32.023
"THBS1",6.1045,7.6629,4.4665,5.63,15.2871,6.0381,7.4427,8.3574,3.8676
"MAPKBP1",22.9194,49.7931,19.4882,34.9014,36.4002,37.0064,37.6289,26.1781,18.8143
"NUSAP1",0.0569,0.3249,0.0479,0.2049,0.1712,0.3343,0.4783,0.236,0.0453
"NDUFAF1",21.288,16.813,19.3281,12.8727,13.6847,13.4137,9.404,13.9763,21.2721
"KIF23",0.7494,0.7798,0.6707,0.829,0.9771,0.6349,0.6954,1.1979,0.6049
"ITGA11",0.9213,3.8697,1.9737,3.3845,2.8657,2.3481,4.0892,2.3708,1.4794
"KNL1",0.1553,0.2716,0.3122,0.1803,0.2411,0.1901,0.5219,0.8204,0.2233
