"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"ABI3BP",-0.350608609868969,-0.979391439239947,0.741302127214436,-0.177686448886316,-0.00448890674741488,0.229519251556721,2.41957730131956,1.53511158013907,-0.262347724049675,0.00448890674741488
"ABL1",-1.32498161937212,0.876376717016449,-0.0163164971397935,0.284854429604499,1.00817190211268,0.0163164971397935,-0.399824150814518,-0.135446501564652,-2.19593444113643,0.717431372252812
"ABL2",0.0930735110584099,-0.622778710452359,-1.33907159494457,-1.16270450939233,-0.719082100262448,0.345261330759704,1.90719090082375,-0.0930735110584099,0.353249127102512,1.02752495780703
"ABLIM1",-0.552760265145516,-0.864168594671014,0.414170698301143,1.3479256784413,-1.1537821150787,2.1314868659085,-0.372349984807067,-0.136963153520996,0.205636053923343,0.136963153520995
"ABLIM2",0.537185109208296,-0.181949199605237,-1.7177086388119,-0.304674628725231,-0.474459809203534,-0.20331982732084,1.63573138311776,1.47463412243195,0.911480447517702,0.181949199605238
"ABLIM3",1.34715154963799,-0.471242142466732,-1.68367436560097,-0.047070991152823,0.375326560143075,-1.6193949797863,0.902008083540651,0.276250858099809,-0.882678978255473,0.047070991152823
"ABR",0.911083428126485,0.143876202371278,-1.61914829193894,0.0904999040556848,-1.01772622126674,-1.26229702985385,1.53419704282303,0.684217551488401,-0.0904999040556848,-0.408885161368099
"ABRACL",1.1767234050067,0.986224230898702,-1.2351718803945,0.0935499249495437,0.195590191764958,-1.40426275860519,-0.0935499249495437,0.260685016947513,-0.691455846706065,-1.77859316525768
"ABRAXAS1",0.10670309726666,0.386670075583681,0.0943142400348361,-0.807644759169796,-1.08464144923763,0.56421223738518,2.35586203072126,-0.972756751310105,-0.423619286815892,-0.0943142400348367
"ABRAXAS2",1.44868886245243,0.478011959502723,-0.551479196308911,-0.0776669391121385,-0.535447504113,-2.00202081463286,1.3065286523867,0.0776669391121385,-0.0984738832733605,0.624533167001895
"ABT1",-2.67989364244956,0.0898138119310203,-0.0439487736778147,-0.170054451835514,-1.93184418254147,0.0611226625685825,0.235331271522488,-0.308676873213218,0.100685670552389,0.0439487736778147
"ABTB2",-0.17626662705497,-0.90083014054839,0.330944571774069,0.347001660244905,-0.0291272597737059,0.0291272597737059,-1.75408225835527,-0.295428710025633,1.76446658717065,1.29850552604966
"ACAA1",-0.0766025286530558,-1.19174869708937,0.0766025286530558,-0.340622208317653,-0.967656172364972,-1.67200806236598,1.08022792619293,1.61594218880655,0.163673198602882,0.197990510251609
"ACAA2",0.289283228290918,-0.257334836580968,0.141934611746226,-0.0825411734985531,-2.25173679224897,-0.746178079748747,0.0825411734985522,0.580690796555356,1.42845527395314,-1.08235265325356
"ACACA",0.779390246243856,0.171513424078018,-0.171513424078019,-0.294848080677429,-0.691009947703371,-1.41789544034749,0.333882785560264,2.11030128857868,0.804489629881513,-0.785590152609981
"ACACB",-0.359602748700963,0.0387821540646468,0.044660115182553,-0.00152205551815136,0.00392795864807584,-0.0479594296245149,-3.16279592358187,0.00152205551815136,-0.0644896133625852,0.138876015476371
"ACAD10",-0.0144816681467832,0.230669549399756,0.0144816681467832,-1.06546277781803,1.46666297652443,-0.521822696560313,-2.33383705526809,-0.282006301924475,0.165321716145909,0.441338396754077
"ACAD11",-0.758864033485772,0.26136182385371,1.38096393496187,0.673950038198239,-0.508526468212715,0.763731192369938,-2.26001836352519,0.110525539413869,-0.110525539413868,-0.267750493908431
"ACAD8",0.810432192101149,-0.0722769168833539,-0.61601974218565,-1.03580633138401,-0.124026581161242,0.0722769168833539,2.44200738073287,0.825181797772921,0.436315558330903,-0.675172707345056
