,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
TOPORS,NA,0.5,NA,NA,0.15,NA,-0.08,NA
TOR1A,-0.46,-0.36,-0.11,-0.11,-0.41,-0.09,-0.44,-0.14
TOR1AIP1,-0.71,-0.61,-0.58,-0.98,-0.7,-0.15,-0.4,-0.65
TOR1AIP2,-0.38,-0.6,-0.3,-0.44,-0.34,-0.04,-0.27,-0.13
TOR1B,-0.72,-0.78,-0.63,-0.71,-0.61,-0.29,-0.39,-0.81
TOR2A,0.46,0.9,0.32,-0.02,0.05,-0.53,0.71,0.59
TOR3A,0.08,-0.09,-0.2,0.34,0.34,0.35,0,0.03
TOR4A,-0.17,-0.72,-1.06,-0.88,-0.31,0.69,-0.36,-0.11
TOX,NA,NA,0.81,0.24,NA,-0.07,0.5,NA
TOX4,-1.12,-0.04,-0.59,-0.57,-0.21,0.15,-0.32,-0.8
TP53,-1.71,-0.14,NA,-0.04,-0.29,-0.05,-0.32,-2.48
TP53BP1,-0.54,-0.28,-0.42,-0.57,-0.5,-0.5,-0.58,-0.39
TP53BP2,0.26,-0.19,-0.01,-0.36,0.15,-0.05,0.2,0.15
TP53I11,0.25,0.14,1.53,1.57,-0.65,0.38,0.57,1.19
TP53I3,-0.81,-1.4,-1.44,-1.61,-0.73,0.17,-0.86,-1.05
TP53INP2,-0.93,0.56,-0.22,-0.32,0.84,-0.09,0.57,-0.4
TP53RK,-0.29,-0.25,-0.74,-0.15,-0.49,0.2,-0.57,-0.68
TPBG,1,1.19,1.51,1.06,0.1,0.72,0.79,0.45
TPCN1,0.24,-0.28,0.16,0.12,-0.08,0.15,0.28,-0.01
TPD52,1.19,1.24,1.3,1.53,1.24,0.96,1.41,1.44
TPD52L1,1.54,1.27,1.09,1.56,0.82,1.61,1.18,1.11
TPD52L2,-0.02,-0.46,-0.59,-0.51,-0.28,0.79,-0.04,0.05
TPGS1,0.67,1.04,1.24,0.68,0.49,0.19,0.24,0.82
TPGS2,0.13,1.41,-0.01,-0.68,0.13,0.37,-0.15,0.34
TPI1,0.24,0.34,0.28,0.44,0.04,0.16,0.15,0.13
TPK1,-0.78,0.51,-0.61,-1.43,-0.41,-1,-0.3,-0.18
TPM1,1.09,0.41,0.39,0.65,0.56,0.5,0.12,0.25
TPM2,0.32,-1.25,-1.37,-0.98,-1.27,0.38,-0.99,-0.75
TPM3,0.08,-0.03,-0.09,-0.02,-0.01,0.03,-0.14,0.13
TPM4,-0.41,0,-0.67,-0.74,-0.47,-0.01,-0.59,-0.9
TPMT,-0.37,-0.74,-0.15,-0.47,-0.14,0.15,-0.14,0.13
TPP1,0.54,-0.07,-0.1,-0.29,0.1,0.05,0.27,0.17
TPP2,-0.05,0.44,0.03,-0.06,0.28,0.56,0.18,0.03
TPPP,1.24,1.67,1.67,2.45,1.74,1.11,1.76,1.27
TPPP3,0.34,-0.34,0.27,-0.03,1.8,0.1,0.56,0.44
TPR,-0.8,-0.75,-0.68,-0.99,-0.45,-0.28,-0.64,-0.84
TPRG1L,1.2,1.89,1.55,2.31,0.18,0.93,1.48,1.24
TPRKB,0.1,0.2,-0.67,-0.55,-0.28,0.17,-0.8,-0.45
TPRN,0.8,-0.03,0.48,0.93,1.51,0.92,1.43,0.73
TPSAB1,0.35,-0.31,-0.28,-0.22,-0.18,0.55,-0.94,-0.07
TPST1,-1.24,-0.91,-0.87,-0.79,-0.71,-0.27,-1.02,-1.26
TPST2,1,NA,-0.16,NA,NA,NA,-0.3,-0.2
TPT1,-0.08,-0.19,0,-0.21,0.1,0.17,-0.09,-0.02
TPX2,-2.48,-1.01,-1.08,-1.8,-0.41,-0.84,-1.15,-2.41
TRA2A,-0.87,-0.46,-0.21,-0.31,-0.72,0.03,-0.49,-0.63
TRA2B,-0.68,-0.4,-0.35,-0.55,-0.35,-0.25,-0.73,-0.55
TRABD,0.61,-0.99,-0.02,-0.92,-0.41,0.06,-0.44,-0.46
TRADD,-0.36,-0.68,-0.49,-0.4,0.59,0.41,0.13,-0.57
TRAF1,-0.77,-0.16,0.16,-0.22,0.04,0.01,-0.58,-1.13
TRAF2,0.08,0.08,0.25,0.35,0.02,-0.17,0.13,0.08
TRAF3,0.35,0.87,0.66,0.73,0.17,0.15,0.36,0.52
TRAF3IP1,-1.4,-0.52,-0.42,-0.07,-0.17,-0.23,-0.74,-0.83
TRAF3IP2,NA,-0.05,-0.79,-0.02,0.04,-0.18,-0.41,NA
TRAF3IP3,-0.23,NA,-0.69,0.69,NA,0.43,-0.61,0.29
TRAF4,-0.15,-0.68,-0.2,-0.93,0.45,-0.48,0.05,-0.24
TRAF5,-0.42,-0.1,-0.39,-0.27,0.21,-0.97,0.2,0.27
TRAF6,-0.4,-0.37,-0.16,-0.37,-0.13,-0.56,-0.1,-0.35
TRAF7,0.22,-0.01,0.5,0.35,0.12,0.13,-0.1,0.27
TRAFD1,-0.58,-0.56,-0.43,-0.11,0.07,-0.38,-0.04,-0.53
TRAK1,0.4,0.9,0.64,1.21,0.44,0.2,0.13,0.38
TRAK2,NA,-0.28,0.86,0.33,-0.13,0.1,NA,NA
TRAM1,-1.09,-1.62,-1.25,-1.52,-0.8,-0.46,-1,-0.94
